,length,width,curb-weight,engine-size,horsepower,city-L/100km,highway-L/100km,wheel-base,bore,drive-wheels,price
0,0.8111484863046613,0.8902777777777777,2548,130,111,11.19047619,8.703703704,88.6,3.47,rwd,13495
1,0.8111484863046613,0.8902777777777777,2548,130,111,11.19047619,8.703703704,88.6,3.47,rwd,16500
2,0.8226814031715521,0.9097222222222222,2823,152,154,12.36842105,9.038461538,94.5,2.68,rwd,16500
3,0.8486304661220567,0.9194444444444444,2337,109,102,9.791666667000001,7.833333333,99.8,3.19,fwd,13950
4,0.8486304661220567,0.9222222222222224,2824,136,115,13.05555556,10.68181818,99.4,3.19,4wd,17450
5,0.8519942335415667,0.9208333333333332,2507,136,110,12.36842105,9.4,99.8,3.19,fwd,15250
6,0.9259971167707832,0.9916666666666668,2844,136,110,12.36842105,9.4,105.8,3.19,fwd,17710
7,0.9259971167707832,0.9916666666666668,2954,136,110,12.36842105,9.4,105.8,3.19,fwd,18920
8,0.9259971167707832,0.9916666666666668,3086,131,140,13.82352941,11.75,105.8,3.13,fwd,23875
9,0.8495915425276309,0.8999999999999999,2395,108,101,10.2173913,8.103448276,101.2,3.5,rwd,16430
10,0.8495915425276309,0.8999999999999999,2395,108,101,10.2173913,8.103448276,101.2,3.5,rwd,16925
11,0.8495915425276309,0.8999999999999999,2710,164,121,11.19047619,8.392857142999999,101.2,3.31,rwd,20970
12,0.8495915425276309,0.8999999999999999,2765,164,121,11.19047619,8.392857142999999,101.2,3.31,rwd,21105
13,0.9082172032676598,0.9291666666666668,3055,164,121,11.75,9.4,103.5,3.31,rwd,24565
14,0.9082172032676598,0.9291666666666668,3230,209,182,14.6875,10.68181818,103.5,3.62,rwd,30760
15,0.9312830370014415,0.9430555555555556,3380,209,182,14.6875,10.68181818,103.5,3.62,rwd,41315
16,0.9466602594906296,0.9847222222222224,3505,209,182,15.66666667,11.75,110.0,3.62,rwd,36880
17,0.6780394041326285,0.8374999999999999,1488,61,48,5.0,4.433962264,88.4,2.91,fwd,5151
18,0.7491590581451226,0.8833333333333333,1874,90,70,6.184210526,5.465116279,94.5,3.03,fwd,6295
19,0.7630946660259491,0.8833333333333333,1909,90,70,6.184210526,5.465116279,94.5,3.03,fwd,6575
20,0.7558865929841423,0.8861111111111111,1876,90,68,6.351351351,5.731707317000001,93.7,2.97,fwd,5572
21,0.7558865929841423,0.8861111111111111,1876,90,68,7.580645161,6.184210526,93.7,2.97,fwd,6377
22,0.7558865929841423,0.8861111111111111,2128,98,102,9.791666667000001,7.833333333,93.7,3.03,fwd,7957
23,0.7558865929841423,0.8861111111111111,1967,90,68,7.580645161,6.184210526,93.7,2.97,fwd,6229
24,0.7558865929841423,0.8861111111111111,1989,90,68,7.580645161,6.184210526,93.7,2.97,fwd,6692
25,0.7558865929841423,0.8861111111111111,1989,90,68,7.580645161,6.184210526,93.7,2.97,fwd,7609
26,0.7558865929841423,0.8861111111111111,2191,98,102,9.791666667000001,7.833333333,93.7,3.03,fwd,8558
27,0.8390197020663143,0.8972222222222221,2535,122,88,9.791666667000001,7.833333333,103.3,3.34,fwd,8921
28,0.8322921672272945,0.9208333333333332,2811,156,145,12.36842105,9.791666667000001,95.9,3.6,fwd,12964
29,0.6948582412301778,0.8875,1713,92,58,4.795918367,4.351851852,86.6,2.91,fwd,6479
30,0.6948582412301778,0.8875,1819,92,76,7.580645161,6.184210526,86.6,2.91,fwd,6855
31,0.7208073041806824,0.8888888888888888,1837,79,60,6.184210526,5.595238095,93.7,2.91,fwd,5399
32,0.7208073041806824,0.8888888888888888,1940,92,76,7.833333333,6.9117647060000005,93.7,2.91,fwd,6529
33,0.7208073041806824,0.8888888888888888,1956,92,76,7.833333333,6.9117647060000005,93.7,2.91,fwd,7129
34,0.7851994233541567,0.8888888888888888,2010,92,76,7.833333333,6.9117647060000005,96.5,2.91,fwd,7295
